,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1,Telequinesis1,Magnetismo1,Cosmica1,Cuantica1,Presion1,Aura1,Electricidad1,Poderes1,NoLoSe1,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2,Telequinesis2,Magnetismo2,Cosmica2,Cuantica2,Presion2,Aura2,Electricidad2,Poderes2,NoLoSe2,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen
21,['56252'],1003,18-24,Cs_Medicas,Univ en curso,Podria,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,3,7,5,7,5,4,7,1,7,7,0,0,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,Es,Podria,NS/NC,7,7,2,7,2,7,7,1,7,0,Si,3,4,3,3,2,1,1,2,1,3,3,4,4,1,4,4,4,4,data_CBCBio07
22,['16240'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,Podria,Es,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,Si,2,4,2,4,4,2,1,3,3,3,NS/NC,3,3,2,2,3,NS/NC,NS/NC,data_CBCBio07
23,['15828'],1003,>40,Cs_Medicas,Posgrado,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,1,0,0,0,0,0,0,0,0,0,0,10,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,4,0,0,0,0,0,0,No,4,4,1,4,3,1,3,4,3,3,1,3,3,3,4,3,2,1,data_CBCBio07
0,['38531'],1003,18-24,Musica,Univ en curso,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,5,0,5,0,0,0,0,0,0,0,0,10,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,5,0,5,0,0,0,0,0,0,0,Si,1,2,3,4,2,2,2,3,2,3,3,1,1,2,3,2,2,2,data_CBCF03Ariel
1,['19541'],1003,18-24,Ingenieria (no sist),Univ en curso,NS/NC,NS/NC,Podria,Podria,Podria,NS/NC,NS/NC,Es,NS/NC,NS/NC,7,7,3,6,3,7,7,2,7,7,0,9,NS/NC,NS/NC,Es,Podria,Podria,NS/NC,NS/NC,Es,NS/NC,NS/NC,7,7,2,4,3,7,7,2,7,7,No,4,3,2,3,2,2,1,2,3,2,1,3,3,4,4,Null,3,2,data_CBCF03Ariel
2,['42041'],1003,25-40,Bio/Qui/Geo/Pale,Secundaria,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,2,7,6,4,7,6,7,0,0,1,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,7,2,7,0,No,3,3,3,4,2,0,1,3,1,1,1,3,3,3,Null,3,3,3,data_CBCF03Ariel
3,['36541'],1003,18-24,Mate/Comp/Sist,Univ en curso,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,2,7,3,7,6,4,7,1,7,2,0,8,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,6,7,6,7,7,1,7,6,7,7,Si,1,2,3,3,3,0,0,3,0,3,4,2,4,3,3,3,2,3,data_CBCF03Ariel
4,['44983'],1003,18-24,Mate/Comp/Sist,Univ en curso,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,1,7,3,6,6,4,7,6,7,7,0,6,Null,NS/NC,Null,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,4,4,5,6,3,7,7,NoSe,2,2,3,4,2,2,1,4,0,1,3,4,3,2,2,2,3,3,data_CBCF03Ariel
5,['16811'],1003,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,data_CBCF03Ariel
6,['25729'],1003,18-24,Mate/Comp/Sist,Univ en curso,Null,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,2,7,5,7,6,7,7,7,7,0,0,0,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,4,7,3,7,4,6,7,4,7,0,NS/NC,3,2,3,3,1,2,0,1,1,2,2,3,3,0,4,2,3,3,data_CBCF03Ariel
7,['15839'],1003,18-24,Bio/Qui/Geo/Pale,Univ en curso,Null,NS/NC,Podria,NS/NC,Podria,Podria,NS/NC,NS/NC,NS/NC,NS/NC,2,7,4,7,4,4,7,5,7,0,0,1,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,2,0,0,0,0,0,0,0,NoSe,3,1,3,4,3,1,0,4,0,NS/NC,1,1,2,2,2,4,4,1,data_CBCF03Ariel
8,['34220'],1003,18-24,Fisica/CsAt/Ocea,Secundaria,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,2,7,3,6,5,5,7,4,7,5,0,7,NS/NC,NS/NC,Podria,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,5,7,5,7,7,2,7,7,7,6,NS/NC,1,2,4,3,2,2,3,3,1,2,1,2,3,0,2,3,3,2,data_CBCF03Ariel
9,['57426'],1003,18-24,Fisica/CsAt/Ocea,Secundaria,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,7,7,2,7,5,4,7,3,7,4,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,1,0,0,0,0,Si,2,2,4,3,3,1,0,4,0,3,3,3,4,0,3,3,2,3,data_CBCF03Ariel
10,['50621'],1003,18-24,Fisica/CsAt/Ocea,Secundaria,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,4,0,0,0,0,0,3,0,0,0,0,5,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Null,0,0,0,0,0,0,0,0,0,0,NoSe,NS/NC,NS/NC,4,3,NS/NC,NS/NC,NS/NC,3,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,3,data_CBCF03Ariel
11,['41184'],1003,25-40,Ingenieria (no sist),Secundaria,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,3,7,3,7,6,5,7,3,7,7,0,7,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,5,7,3,7,5,6,7,3,7,4,NoSe,1,2,4,3,3,2,0,4,1,3,3,2,3,0,2,3,1,3,data_CBCF03Ariel
