,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen,Justificacion1,Podria1,Justificacion2,Podria2
40,['63379'],1003,25-40,Bio/Qui/Geo/Pale,Posgrado,0.42857142857142855,1.0,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,0.5714285714285714,1.0,0.7142857142857143,0,6,0.8571428571428571,1.0,0.7142857142857143,Ns/Nc,0.8571428571428571,0.7142857142857143,1.0,0.5714285714285714,1.0,0.14285714285714285,NoSe,4,4,2,3,2,1,1,3,1,2,1,2,2,1,3,3,0,2,data_MarchaCyT,Magnetismo,['Calor'],NoLoSe,[]
41,['41240'],1003,25-40,Sociales,Universidad,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.2857142857142857,1.0,Ns/Nc,0,8,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.2857142857142857,1.0,Ns/Nc,Si,3,3,2,3,2,1,1,4,1,3,2,3,3,2,3,3,3,2,data_MarchaCyT,Magnetismo,"['Calor', 'Presion', 'Electricidad']",Magnetismo,"['Calor', 'Presion', 'Electricidad']"
42,['33616'],1003,25-40,Bio/Qui/Geo/Pale,NS/NC,0.42857142857142855,1.0,0.5714285714285714,1.0,0.7142857142857143,0.42857142857142855,1.0,0.5714285714285714,1.0,Ns/Nc,0,10,0.5714285714285714,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,0.7142857142857143,1.0,1.0,Si,2,2,3,3,4,1,1,3,1,4,4,3,3,1,2,4,4,4,data_MarchaCyT,NoLoSe,['Poderes'],NoLoSe,[]
43,['27708'],1003,25-40,Bio/Qui/Geo/Pale,Univ en curso,0.5714285714285714,1.0,0.14285714285714285,1.0,0.42857142857142855,0.5714285714285714,1.0,0.42857142857142855,1.0,0.5714285714285714,0,6,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,Si,3,4,1,4,Null,1,Null,4,1,4,1,2,2,2,4,3,2,2,data_MarchaCyT,Magnetismo,"['Calor', 'Electricidad', 'NoLoSe']",Magnetismo,"['Calor', 'Telequinesis', 'Cosmica', 'Cuantica', 'Presion', 'Aura', 'Electricidad', 'Poderes']"
44,['21781'],1003,25-40,Bio/Qui/Geo/Pale,Posgrado,0.5714285714285714,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0,10,0.5714285714285714,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Si,3,3,4,4,4,1,0,4,0,3,2,1,4,0,4,3,3,3,data_MarchaCyT,Calor,['NoLoSe'],Calor,['NoLoSe']
45,['56157'],1003,25-40,Bio/Qui/Geo/Pale,Posgrado,Ns/Nc,Ns/Nc,0.42857142857142855,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,0,1,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0.14285714285714285,Si,2,4,2,4,3,1,2,4,2,3,2,3,4,3,4,4,4,3,data_MarchaCyT,Magnetismo,['Electricidad'],NoLoSe,[]
46,['18515'],1003,25-40,Bio/Qui/Geo/Pale,Universidad,0.5714285714285714,1.0,0.42857142857142855,1.0,0.5714285714285714,1.0,1.0,0.42857142857142855,1.0,0.14285714285714285,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,NoSe,3,3,2,3,3,1,1,4,1,2,1,2,4,1,4,4,3,2,data_MarchaCyT,NoLoSe,"['Calor', 'Magnetismo', 'Cuantica', 'Electricidad']",NoLoSe,[]
0,['37441'],1003,18-24,Null,Univ en curso,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,Si,3,2,2,4,2,0,0,3,1,1,2,3,4,0,4,2,3,3,data_Micro,Ns/Nc,['Magnetismo'],Ns/Nc,['Magnetismo']
1,['55027'],1003,NS/NC,Fisica/CsAt/Ocea,Univ en curso,0.42857142857142855,1.0,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.0,0.42857142857142855,1.0,0.14285714285714285,0,8,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,NoSe,2,3,3,4,3,1,0,3,1,4,3,3,3,1,4,3,2,3,data_Micro,Magnetismo,['Electricidad'],NoLoSe,[]
2,['23839'],1003,25-40,Gastronomia,Universidad,0.42857142857142855,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,1.0,0,5,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,Si,4,3,3,3,3,2,1,1,1,3,0,3,1,2,4,2,3,3,data_Micro,Ns/Nc,['Presion'],Presion,['Calor']
3,['55177'],1003,25-40,Fisica/CsAt/Ocea,Universidad,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,Ns/Nc,0,1,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,Si,3,3,2,3,0,0,0,3,0,1,3,3,2,0,4,3,2,1,data_Micro,Presion,[],Presion,[]
